Badge,TrainingName,ActivityDate
"236","Refresher 3","5/24/2018",
"236","Refresher 3","9/26/2019",
"242","Refresher 1","",
"242","Refresher 2","",
"242","Refresher 3","",
"245","Refresher 1","",
"245","Refresher 2","",
"245","Refresher 3","",
"248","Refresher 1","5/24/2018",
"248","Refresher 1","9/20/2018",
"248","Refresher 1","4/28/2019",
"248","Refresher 1","9/26/2019",
"248","Refresher 2","5/24/2018",
"248","Refresher 2","9/20/2018",
"248","Refresher 2","4/28/2019",
"248","Refresher 2","9/26/2019",
"248","Refresher 3","5/24/2018",
"248","Refresher 3","9/20/2018",
"248","Refresher 3","4/28/2019",
"248","Refresher 3","9/26/2019",
"254","Refresher 1","4/29/2018",
"254","Refresher 1","9/26/2019",
"254","Refresher 2","4/29/2018",
"254","Refresher 2","9/26/2019",
"254","Refresher 3","4/29/2018",
"254","Refresher 3","9/26/2019",
"255","Refresher 1","4/28/2019",
"255","Refresher 2","4/28/2019",
"255","Refresher 3","4/28/2019",
"258","Refresher 1","9/20/2018",
"258","Refresher 1","4/28/2019",
"258","Refresher 2","9/20/2018",
"258","Refresher 2","4/28/2019",
"258","Refresher 3","9/20/2018",
"258","Refresher 3","4/28/2019",
"259","Refresher 1","4/29/2018",
"259","Refresher 2","4/29/2018",
"259","Refresher 3","4/29/2018",
"262","Refresher 1","",
"262","Refresher 2","",
"262","Refresher 3","",
"264","Refresher 1","9/20/2018",
"264","Refresher 1","4/28/2019",
"264","Refresher 1","9/26/2019",
"264","Refresher 2","9/20/2018",
"264","Refresher 2","4/28/2019",
"264","Refresher 2","9/26/2019",
"264","Refresher 3","9/20/2018",
"264","Refresher 3","4/28/2019",
"264","Refresher 3","9/26/2019",
"265","Refresher 1","4/29/2018",
"265","Refresher 1","5/24/2018",
"265","Refresher 2","4/29/2018",
"265","Refresher 2","5/24/2018",
"265","Refresher 3","4/29/2018",
"265","Refresher 3","5/24/2018",
"266","Refresher 1","",
"266","Refresher 2","",
"266","Refresher 3","",
"268","Refresher 1","9/26/2019",
"268","Refresher 2","9/26/2019",
"268","Refresher 3","9/26/2019",
"270","Refresher 1","9/20/2018",
"270","Refresher 1","9/26/2019",
"270","Refresher 2","9/20/2018",
"270","Refresher 2","9/26/2019",
"270","Refresher 3","9/20/2018",
"270","Refresher 3","9/26/2019",
"271","Refresher 1","4/28/2019",
"271","Refresher 2","4/28/2019",
"271","Refresher 3","4/28/2019",
"272","Refresher 1","",
"272","Refresher 2","",
"272","Refresher 3","",
"273","Refresher 1","",
"273","Refresher 2","",
"273","Refresher 3","",
"275","Refresher 1","",
"275","Refresher 2","",
"275","Refresher 3","",
"276","Refresher 1","4/28/2019",
"276","Refresher 2","4/28/2019",
"276","Refresher 3","4/28/2019",
"277","Refresher 1","5/24/2018",
"277","Refresher 1","9/20/2018",
"277","Refresher 2","5/24/2018",
"277","Refresher 2","9/20/2018",
"277","Refresher 3","5/24/2018",
"277","Refresher 3","9/20/2018",
"279","Refresher 1","4/28/2019",
"279","Refresher 2","4/28/2019",
"279","Refresher 3","4/28/2019",
"280","Refresher 1","4/28/2019",
"280","Refresher 2","4/28/2019",
"280","Refresher 3","4/28/2019",
"281","Refresher 1","4/29/2018",
"281","Refresher 2","4/29/2018",
"281","Refresher 3","4/29/2018",
"283","Refresher 1","9/20/2018",
"283","Refresher 1","9/26/2019",
"283","Refresher 2","9/20/2018",
"283","Refresher 2","9/26/2019",
"283","Refresher 3","9/20/2018",
"283","Refresher 3","9/26/2019",
"284","Refresher 1","4/29/2018",
"284","Refresher 1","4/28/2019",
"284","Refresher 2","4/29/2018",
"284","Refresher 2","4/28/2019",
"284","Refresher 3","4/29/2018",
"284","Refresher 3","4/28/2019",
"285","Refresher 1","",
"285","Refresher 2","",
"285","Refresher 3","",
"286","Refresher 1","5/24/2018",
"286","Refresher 1","9/20/2018",
"286","Refresher 2","5/24/2018",
"286","Refresher 2","9/20/2018",
"286","Refresher 3","5/24/2018",
"286","Refresher 3","9/20/2018",
"287","Refresher 1","5/24/2018",
"287","Refresher 1","9/20/2018",
"287","Refresher 1","5/23/2019",
"287","Refresher 1","9/26/2019",
"287","Refresher 2","5/24/2018",
"287","Refresher 2","9/20/2018",
"287","Refresher 2","5/23/2019",
"287","Refresher 2","9/26/2019",
"287","Refresher 3","5/24/2018",
"287","Refresher 3","9/20/2018",
"287","Refresher 3","5/23/2019",
"287","Refresher 3","9/26/2019",
"288","Refresher 1","",
"288","Refresher 2","",
"288","Refresher 3","",
"289","Refresher 1","4/29/2018",
"289","Refresher 1","9/20/2018",
"289","Refresher 1","4/28/2019",
"289","Refresher 1","9/26/2019",
"289","Refresher 2","4/29/2018",
"289","Refresher 2","9/20/2018",
"289","Refresher 2","4/28/2019",
"289","Refresher 2","9/26/2019",
"289","Refresher 3","4/29/2018",
"289","Refresher 3","9/20/2018",
"289","Refresher 3","4/28/2019",
"289","Refresher 3","9/26/2019",
"290","Refresher 1","",
"290","Refresher 2","",
"290","Refresher 3","",
"291","Refresher 1","",
"291","Refresher 2","",
"291","Refresher 3","",
"292","Refresher 1","",
"292","Refresher 2","",
"292","Refresher 3","",
"293","Refresher 1","",
"293","Refresher 2","",
"293","Refresher 3","",
"294","Refresher 1","",
"294","Refresher 2","",
"294","Refresher 3","",
"296","Refresher 1","",
"296","Refresher 2","",
"296","Refresher 3","",
"297","Refresher 1","",
"297","Refresher 2","",
"297","Refresher 3","",
"298","Refresher 1","9/20/2018",
"298","Refresher 1","4/28/2019",
"298","Refresher 2","9/20/2018",
"298","Refresher 2","4/28/2019",
"298","Refresher 3","9/20/2018",
"298","Refresher 3","4/28/2019",
"299","Refresher 1","4/29/2018",
"299","Refresher 2","4/29/2018",
"299","Refresher 3","4/29/2018",
"300","Refresher 1","4/29/2018",
"300","Refresher 2","4/29/2018",
"300","Refresher 3","4/29/2018",
"301","Refresher 1","4/29/2018",
"301","Refresher 1","4/28/2019",
"301","Refresher 2","4/29/2018",
"301","Refresher 2","4/28/2019",
"301","Refresher 3","4/29/2018",
"301","Refresher 3","4/28/2019",
"302","Refresher 1","",
"302","Refresher 2","",
"302","Refresher 3","",
"305","Refresher 1","",
"305","Refresher 2","",
"305","Refresher 3","",
"306","Refresher 1","",
"306","Refresher 2","",
"306","Refresher 3","",
"307","Refresher 1","4/29/2018",
"307","Refresher 2","4/29/2018",
"307","Refresher 3","4/29/2018",
"308","Refresher 1","4/28/2019",
"308","Refresher 2","4/28/2019",
"308","Refresher 3","4/28/2019",
"309","Refresher 1","4/28/2019",
"309","Refresher 2","4/28/2019",
"309","Refresher 3","4/28/2019",
"310","Refresher 1","9/26/2019",
"310","Refresher 2","9/26/2019",
"310","Refresher 3","9/26/2019",
"311","Refresher 1","",
"311","Refresher 2","",
"311","Refresher 3","",
"312","Refresher 1","",
"312","Refresher 2","",
"312","Refresher 3","",
"313","Refresher 1","4/29/2018",
"313","Refresher 1","9/26/2019",
"313","Refresher 2","4/29/2018",
"313","Refresher 2","9/26/2019",
"313","Refresher 3","4/29/2018",
"313","Refresher 3","9/26/2019",
"315","Refresher 1","",
"315","Refresher 2","",
"315","Refresher 3","",
"316","Refresher 1","",
"316","Refresher 2","",
"316","Refresher 3","",
"317","Refresher 1","5/24/2018",
"317","Refresher 1","4/28/2019",
"317","Refresher 2","5/24/2018",
"317","Refresher 2","4/28/2019",
"317","Refresher 3","5/24/2018",
"317","Refresher 3","4/28/2019",
"318","Refresher 1","",
"318","Refresher 2","",
"318","Refresher 3","",
"319","Refresher 1","",
"319","Refresher 2","",
"319","Refresher 3","",
"320","Refresher 1","5/24/2018",
"320","Refresher 2","5/24/2018",
"320","Refresher 3","5/24/2018",
"321","Refresher 1","",
"321","Refresher 2","",
"321","Refresher 3","",
"324","Refresher 1","",
"324","Refresher 2","",
"324","Refresher 3","",
"325","Refresher 1","5/24/2018",
"325","Refresher 2","5/24/2018",
"325","Refresher 3","5/24/2018",
"330","Refresher 1","4/29/2018",
"330","Refresher 1","5/24/2018",
"330","Refresher 1","9/20/2018",
"330","Refresher 1","4/28/2019",
"330","Refresher 1","5/23/2019",
"330","Refresher 1","9/26/2019",
"330","Refresher 2","4/29/2018",
"330","Refresher 2","5/24/2018",
"330","Refresher 2","9/20/2018",
"330","Refresher 2","4/28/2019",
"330","Refresher 2","5/23/2019",
"330","Refresher 2","9/26/2019",
"330","Refresher 3","4/29/2018",
"330","Refresher 3","5/24/2018",
"330","Refresher 3","9/20/2018",
"330","Refresher 3","4/28/2019",
"330","Refresher 3","5/23/2019",
"330","Refresher 3","9/26/2019",
"331","Refresher 1","",
"331","Refresher 2","",
"331","Refresher 3","",
"332","Refresher 1","",
"332","Refresher 2","",
"332","Refresher 3","",
"333","Refresher 1","",
"333","Refresher 2","",
"333","Refresher 3","",
"334","Refresher 1","",
"334","Refresher 2","",
"334","Refresher 3","",
"335","Refresher 1","",
"335","Refresher 2","",
"335","Refresher 3","",
"336","Refresher 1","",
"336","Refresher 2","",
"336","Refresher 3","",
"338","Refresher 1","",
"338","Refresher 2","",
"338","Refresher 3","",
"339","Refresher 1","4/28/2019",
"339","Refresher 2","4/28/2019",
"339","Refresher 3","4/28/2019",
"340","Refresher 1","4/28/2019",
"340","Refresher 2","4/28/2019",
"340","Refresher 3","4/28/2019",
"341","Refresher 1","4/29/2018",
"341","Refresher 2","4/29/2018",
"341","Refresher 3","4/29/2018",
"345","Refresher 1","4/29/2018",
"345","Refresher 2","4/29/2018",
"345","Refresher 3","4/29/2018",
"346","Refresher 1","4/28/2019",
"346","Refresher 2","4/28/2019",
"346","Refresher 3","4/28/2019",
"347","Refresher 1","",
"347","Refresher 2","",
"347","Refresher 3","",
"348","Refresher 1","",
"348","Refresher 2","",
"348","Refresher 3","",
"349","Refresher 1","",
"349","Refresher 2","",
"349","Refresher 3","",
"350","Refresher 1","",
"350","Refresher 2","",
"350","Refresher 3","",
"352","Refresher 1","",
"352","Refresher 2","",
"352","Refresher 3","",
"354","Refresher 1","",
"354","Refresher 2","",
"354","Refresher 3","",
"356","Refresher 1","4/29/2018",
"356","Refresher 1","5/24/2018",
"356","Refresher 1","4/28/2019",
"356","Refresher 1","9/26/2019",
"356","Refresher 2","4/29/2018",
"356","Refresher 2","5/24/2018",
"356","Refresher 2","4/28/2019",
"356","Refresher 2","9/26/2019",
"356","Refresher 3","4/29/2018",
"356","Refresher 3","5/24/2018",
"356","Refresher 3","4/28/2019",
"356","Refresher 3","9/26/2019",
"357","Refresher 1","",
"357","Refresher 2","",
"357","Refresher 3","",
"358","Refresher 1","4/29/2018",
"358","Refresher 1","4/28/2019",
"358","Refresher 2","4/29/2018",
"358","Refresher 2","4/28/2019",
"358","Refresher 3","4/29/2018",
"358","Refresher 3","4/28/2019",
"361","Refresher 1","5/24/2018",
"361","Refresher 2","5/24/2018",
"361","Refresher 3","5/24/2018",
"362","Refresher 1","4/29/2018",
"362","Refresher 1","9/20/2018",
"362","Refresher 2","4/29/2018",
"362","Refresher 2","9/20/2018",
"362","Refresher 3","4/29/2018",
"362","Refresher 3","9/20/2018",
"363","Refresher 1","",
"363","Refresher 2","",
"363","Refresher 3","",
"364","Refresher 1","4/28/2019",
"364","Refresher 2","4/28/2019",
"364","Refresher 3","4/28/2019",
"366","Refresher 1","4/29/2018",
"366","Refresher 1","4/28/2019",
"366","Refresher 2","4/29/2018",
"366","Refresher 2","4/28/2019",
"366","Refresher 3","4/29/2018",
"366","Refresher 3","4/28/2019",
"368","Refresher 1","5/24/2018",
"368","Refresher 1","4/28/2019",
"368","Refresher 2","5/24/2018",
"368","Refresher 2","4/28/2019",
"368","Refresher 3","5/24/2018",
"368","Refresher 3","4/28/2019",
"369","Refresher 1","",
"369","Refresher 2","",
"369","Refresher 3","",
"370","Refresher 1","4/28/2019",
"370","Refresher 2","4/28/2019",
"370","Refresher 3","4/28/2019",
"372","Refresher 1","5/24/2018",
"372","Refresher 2","5/24/2018",
"372","Refresher 3","5/24/2018",
"376","Refresher 1","9/26/2019",
"376","Refresher 2","9/26/2019",
"376","Refresher 3","9/26/2019",
"377","Refresher 1","9/20/2018",
"377","Refresher 1","4/28/2019",
"377","Refresher 2","9/20/2018",
"377","Refresher 2","4/28/2019",
"377","Refresher 3","9/20/2018",
"377","Refresher 3","4/28/2019",
"378","Refresher 1","4/28/2019",
"378","Refresher 2","4/28/2019",
"378","Refresher 3","4/28/2019",
"380","Refresher 1","4/29/2018",
"380","Refresher 1","5/23/2019",
"380","Refresher 2","4/29/2018",
"380","Refresher 2","5/23/2019",
"380","Refresher 3","4/29/2018",
"380","Refresher 3","5/23/2019",
"381","Refresher 1","",
"381","Refresher 2","",
"381","Refresher 3","",
"383","Refresher 1","",
"383","Refresher 2","",
"383","Refresher 3","",
"385","Refresher 1","9/20/2018",
"385","Refresher 1","9/26/2019",
"385","Refresher 2","9/20/2018",
"385","Refresher 2","9/26/2019",
"385","Refresher 3","9/20/2018",
"385","Refresher 3","9/26/2019",
"387","Refresher 1","",
"387","Refresher 2","",
"387","Refresher 3","",
"389","Refresher 1","",
"389","Refresher 2","",
"389","Refresher 3","",
"392","Refresher 1","4/28/2019",
"392","Refresher 2","4/28/2019",
"392","Refresher 3","4/28/2019",
"393","Refresher 1","",
"393","Refresher 2","",
"393","Refresher 3","",
"396","Refresher 1","5/23/2019",
"396","Refresher 2","5/23/2019",
"396","Refresher 3","5/23/2019",
"397","Refresher 1","",
"397","Refresher 2","",
"397","Refresher 3","",
"398","Refresher 1","",
"398","Refresher 2","",
"398","Refresher 3","",
"399","Refresher 1","4/29/2018",
"399","Refresher 1","5/24/2018",
"399","Refresher 2","4/29/2018",
"399","Refresher 2","5/24/2018",
"399","Refresher 3","4/29/2018",
"399","Refresher 3","5/24/2018",
"400","Refresher 1","5/23/2019",
"400","Refresher 2","5/23/2019",
"400","Refresher 3","5/23/2019",
"401","Refresher 1","4/28/2019",
"401","Refresher 1","5/23/2019",
"401","Refresher 2","4/28/2019",
"401","Refresher 2","5/23/2019",
"401","Refresher 3","4/28/2019",
"401","Refresher 3","5/23/2019",
"402","Refresher 1","4/29/2018",
"402","Refresher 1","4/28/2019",
"402","Refresher 2","4/29/2018",
"402","Refresher 2","4/28/2019",
"402","Refresher 3","4/29/2018",
"402","Refresher 3","4/28/2019",
"403","Refresher 1","",
"403","Refresher 2","",
"403","Refresher 3","",
"404","Refresher 1","4/28/2019",
"404","Refresher 2","4/28/2019",
"404","Refresher 3","4/28/2019",
"405","Refresher 1","4/28/2019",
"405","Refresher 2","4/28/2019",
"405","Refresher 3","4/28/2019",
"406","Refresher 1","9/20/2018",
"406","Refresher 2","9/20/2018",
"406","Refresher 3","9/20/2018",
"408","Refresher 1","",
"408","Refresher 2","",
"408","Refresher 3","",
"409","Refresher 1","9/26/2019",
"409","Refresher 2","9/26/2019",
"409","Refresher 3","9/26/2019",
"410","Refresher 1","9/26/2019",
"410","Refresher 2","9/26/2019",
"410","Refresher 3","9/26/2019",
"411","Refresher 1","4/29/2018",
"411","Refresher 2","4/29/2018",
"411","Refresher 3","4/29/2018",
"412","Refresher 1","",
"412","Refresher 2","",
"412","Refresher 3","",
"413","Refresher 1","5/23/2019",
"413","Refresher 1","9/26/2019",
"413","Refresher 2","5/23/2019",
"413","Refresher 2","9/26/2019",
"413","Refresher 3","5/23/2019",
"413","Refresher 3","9/26/2019",
"414","Refresher 1","9/20/2018",
"414","Refresher 1","5/23/2019",
"414","Refresher 2","9/20/2018",
"414","Refresher 2","5/23/2019",
"414","Refresher 3","9/20/2018",
"414","Refresher 3","5/23/2019",
"415","Refresher 1","9/20/2018",
"415","Refresher 2","9/20/2018",
"415","Refresher 3","9/20/2018",
"417","Refresher 1","4/29/2018",
"417","Refresher 1","9/20/2018",
"417","Refresher 2","4/29/2018",
"417","Refresher 2","9/20/2018",
"417","Refresher 3","4/29/2018",
"417","Refresher 3","9/20/2018",
"418","Refresher 1","",
"418","Refresher 2","",
"418","Refresher 3","",
"419","Refresher 1","4/29/2018",
"419","Refresher 1","4/28/2019",
"419","Refresher 1","5/23/2019",
"419","Refresher 2","4/29/2018",
"419","Refresher 2","4/28/2019",
"419","Refresher 2","5/23/2019",
"419","Refresher 3","4/29/2018",
"419","Refresher 3","4/28/2019",
"419","Refresher 3","5/23/2019",
"420","Refresher 1","4/28/2019",
"420","Refresher 2","4/28/2019",
"420","Refresher 3","4/28/2019",
"421","Refresher 1","9/26/2019",
"421","Refresher 2","9/26/2019",
"421","Refresher 3","9/26/2019",
"422","Refresher 1","9/20/2018",
"422","Refresher 1","9/26/2019",
"422","Refresher 2","9/20/2018",
"422","Refresher 2","9/26/2019",
"422","Refresher 3","9/20/2018",
"422","Refresher 3","9/26/2019",
